direct_competitor_count_500m,direct_competitor_count_1km,related_fitness_count_1km,source_index
8,47,95,0
5,12,32,1
5,12,32,2
5,12,32,3
1,19,32,6
10,26,59,7
25,70,130,8
2,7,17,9
4,15,31,10
13,66,128,11
18,54,105,12
4,15,27,13
16,44,74,14
5,10,26,15
24,56,112,16
28,72,137,17
20,59,122,18
2,7,17,19
5,10,26,20
10,22,50,21
4,16,41,22
29,59,117,23
2,7,17,24
18,54,105,25
6,12,21,26
2,9,19,27
26,61,124,28
31,57,114,29
2,18,36,30
23,57,114,31
20,49,98,32
14,50,85,33
7,26,43,34
12,28,64,35
18,39,73,36
14,49,71,37
29,59,117,38
11,32,59,39
30,70,130,40
7,10,19,41
18,41,84,42
33,74,137,43
2,3,11,44
11,50,99,45
6,12,21,46
18,41,84,47
2,11,20,48
9,43,93,49
9,26,60,50
3,19,32,51
5,12,33,52
4,16,41,53
8,36,64,54
5,10,26,55
31,65,124,56
20,56,119,57
5,34,74,58
25,56,112,59
18,54,105,60
23,48,95,61
18,39,73,62
22,60,115,63
22,51,105,64
20,63,120,65
31,70,132,66
9,28,43,67
9,24,38,68
5,12,22,69
13,57,114,70
18,39,73,71
10,21,45,72
6,15,41,73
8,34,74,74
16,33,67,75
32,57,114,76
10,32,59,77
22,60,115,78
21,60,112,79
5,15,35,80
20,58,124,81
14,51,84,82
3,20,33,83
1,17,31,84
10,37,64,85
3,24,37,86
4,12,27,87
3,16,30,90
1,18,32,91
4,22,35,92
18,37,77,93
9,28,64,94
8,12,23,95
5,11,31,96
15,48,97,98
19,66,131,99
5,23,55,100
20,48,90,101
5,27,51,102
23,55,110,103
8,26,60,104
5,30,44,105
18,41,84,106
8,37,61,107
23,51,100,108
17,67,127,109
16,37,74,111
8,37,61,112
2,18,36,113
14,50,85,114
22,53,105,115
12,48,98,116
33,74,137,117
14,50,79,118
26,69,129,119
8,37,61,120
33,74,137,121
21,61,112,122
10,27,62,123
18,41,84,124
5,24,44,125
4,9,25,126
7,23,54,127
9,26,40,128
30,67,130,129
8,13,26,130
18,37,74,131
11,31,46,132
6,14,23,133
23,50,99,134
26,69,130,135
23,57,115,136
10,23,52,137
23,48,93,138
4,16,42,139
20,52,105,140
10,26,60,141
2,8,12,142
26,69,130,143
19,47,93,144
22,51,105,145
6,12,21,146
4,19,36,147
20,63,120,148
5,26,42,149
20,70,134,150
18,41,84,151
22,51,105,152
3,21,41,153
9,34,74,154
18,37,77,155
11,33,48,156
3,11,32,157
10,22,52,158
16,35,77,159
8,32,64,160
19,56,105,161
27,60,119,162
6,49,84,163
7,29,61,164
8,45,80,165
9,51,88,166
5,47,80,167
20,62,112,168
7,31,84,169
9,38,61,170
19,40,69,171
8,28,56,172
2,37,56,173
12,32,60,174
11,35,81,175
9,35,69,176
21,71,131,177
14,34,76,178
9,18,25,179
8,39,71,180
11,48,92,181
8,22,46,182
14,37,62,183
1,18,41,184
11,28,40,185
16,38,78,186
9,31,63,187
7,48,80,188
11,41,84,189
10,59,108,190
3,28,46,191
15,36,58,192
6,46,81,193
11,43,81,194
8,40,74,196
15,40,67,197
11,29,38,198
10,55,99,200
8,26,53,201
5,44,77,202
6,47,87,203
17,60,109,204
15,35,78,205
3,34,51,206
21,70,133,207
21,70,133,208
4,30,43,209
19,34,85,210
4,31,44,211
6,25,37,212
10,51,99,213
9,32,58,214
18,59,108,215
6,19,42,216
11,31,48,217
10,36,66,218
6,36,69,219
17,58,110,221
17,55,103,222
19,34,85,223
8,40,74,224
9,45,78,225
10,27,45,226
15,40,66,227
12,32,49,228
4,26,55,229
10,45,79,230
21,70,133,231
11,47,90,232
11,35,59,233
11,47,91,234
15,32,66,235
11,53,104,236
12,34,72,237
11,34,79,240
9,52,88,241
12,58,105,242
25,63,115,243
12,39,80,244
4,37,67,245
9,36,68,246
8,47,88,247
13,45,86,249
11,45,84,250
11,32,58,251
10,26,37,252
11,23,34,253
10,47,88,254
12,29,44,255
13,38,79,256
20,56,104,258
9,38,69,259
18,63,114,260
10,54,98,261
8,34,63,262
4,32,57,263
6,49,84,264
4,40,67,265
12,28,40,266
14,33,75,267
8,27,52,268
11,41,84,269
19,40,69,270
8,34,63,271
12,38,69,272
8,35,66,273
9,28,40,274
9,49,94,275
7,34,67,276
3,43,76,277
12,32,50,278
6,49,84,279
9,41,75,280
7,28,37,281
1,18,41,282
8,35,63,283
21,69,131,284
6,28,49,285
6,36,69,286
15,36,59,287
12,34,69,288
14,39,67,290
15,36,84,291
23,67,129,292
23,67,129,293
13,28,38,294
9,52,88,295
6,47,87,296
8,35,63,297
5,34,67,298
30,69,130,299
16,63,118,300
7,32,55,301
15,35,80,302
15,35,80,303
13,45,90,304
15,38,79,305
16,34,74,306
21,70,133,307
8,25,35,308
6,47,87,309
14,32,75,310
7,51,92,311
20,62,112,312
15,33,68,313
9,25,37,314
10,27,45,315
12,45,91,316
21,56,104,317
11,46,92,318
9,35,68,319
11,29,43,320
14,33,78,321
9,24,35,322
12,43,77,323
11,39,81,324
5,39,69,325
13,40,82,326
20,62,112,327
7,31,84,328
9,39,58,329
9,52,88,330
21,71,131,331
20,62,112,332
17,59,108,333
7,31,84,334
10,29,57,335
12,38,69,336
15,38,81,337
30,72,134,338
11,45,88,339
23,67,129,340
9,52,88,341
12,34,81,342
15,41,70,343
1,22,43,344
13,36,84,345
8,29,56,346
8,52,94,347
12,49,103,348
9,38,69,349
13,35,78,350
12,34,69,351
10,48,92,352
12,39,87,353
8,35,69,354
3,10,28,355
5,7,20,357
4,10,25,358
14,27,67,359
11,34,83,360
4,23,54,361
8,21,46,362
18,25,71,363
2,6,14,364
18,25,76,366
5,32,82,367
15,27,69,368
9,22,65,369
6,21,52,370
5,28,58,371
4,23,74,372
5,21,53,373
4,29,64,374
9,15,35,375
10,30,80,376
16,29,74,377
15,27,71,378
18,25,72,379
21,30,74,380
4,12,36,381
18,26,75,382
5,33,83,383
8,28,66,384
21,30,73,385
15,33,82,386
15,27,70,387
9,18,41,388
3,23,51,389
7,20,39,390
6,17,52,391
2,13,28,392
18,25,71,393
13,27,68,394
18,25,72,395
4,29,69,396
9,17,52,397
8,15,50,398
12,20,44,399
10,32,80,400
8,15,50,401
2,6,14,402
18,26,75,403
6,33,68,404
15,27,70,405
10,32,79,406
2,31,82,407
18,25,72,408
4,15,46,409
14,26,77,410
9,15,34,411
18,25,72,412
4,10,25,413
4,16,50,414
6,22,50,415
17,25,73,416
15,29,71,417
2,6,15,418
5,33,79,419
21,30,73,420
13,32,89,421
18,25,76,422
5,10,29,423
4,13,31,424
2,13,30,425
9,19,41,426
4,22,53,427
18,27,80,428
17,28,75,429
14,27,69,430
8,21,48,431
9,20,55,432
3,14,34,433
18,24,68,434
11,34,83,435
18,27,80,436
17,27,73,438
7,25,52,440
3,24,52,441
9,24,70,443
6,37,88,444
12,17,39,445
3,19,45,446
19,28,71,447
3,22,53,448
3,31,76,450
4,21,48,451
5,35,81,452
6,27,56,453
5,36,80,455
10,22,67,456
6,34,77,457
18,25,71,458
9,15,33,459
3,21,47,460
13,29,71,461
5,35,80,462
15,27,70,463
5,20,45,464
8,23,52,465
8,15,50,466
17,26,75,467
5,7,20,468
12,17,39,469
6,43,96,471
15,33,82,472
9,27,65,473
4,25,57,474
8,30,74,475
9,19,42,476
12,33,77,477
2,13,25,478
4,7,20,479
18,25,75,480
18,26,75,481
8,15,50,482
4,21,48,483
17,29,84,484
17,30,71,485
5,35,83,486
8,18,41,487
5,15,36,488
3,14,34,489
14,27,65,490
10,32,80,491
1,6,24,492
19,28,72,493
17,27,70,494
4,15,48,495
16,29,73,496
14,27,70,497
3,13,28,498
4,23,74,499
9,15,48,500
3,23,51,501
10,32,80,502
21,30,74,503
10,18,62,504
4,15,48,505
0,0,1,506
17,32,85,507
6,37,81,508
2,6,14,509
6,8,15,510
2,6,14,511
18,25,71,512
18,26,75,513
11,33,79,514
8,15,50,515
17,29,84,516
18,25,72,517
6,34,81,518
13,29,71,519
